                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2326,                 3.6366,                 2.1122,                0.06911,                0.23249,                0.04039,                0.01451,                 2.2421,                 4.7237,                 2.2337,                 0.0955,                 0.0005,                 0.0005
                      1,                 2.2014,                 3.2112,                 2.1251,                0.58585,                0.25302,                 0.2188,                0.08265,                 2.1735,                 3.9324,                 2.1642,               0.090056,              0.0010564,              0.0010564
                      2,                  2.072,                 2.4498,                 1.8883,                0.57435,                0.28641,                0.27993,                0.11805,                 2.1294,                 3.3959,                 2.0394,               0.084565,              0.0015654,              0.0015654
                      3,                 1.8778,                 2.1068,                 1.7905,                0.63012,                0.28941,                0.29432,                0.13498,                 2.0862,                  3.171,                 1.9487,               0.079027,              0.0020268,              0.0020268
                      4,                 1.8199,                 1.8328,                 1.6572,                0.50501,                0.36563,                0.26846,                0.12641,                  2.068,                 3.2255,                  1.912,               0.073441,              0.0024406,              0.0024406
                      5,                 1.6758,                 1.7599,                 1.5691,                0.66853,                0.35528,                0.34426,                0.17532,                 2.0361,                 3.0736,                 1.8737,               0.067807,               0.002807,               0.002807
                      6,                 1.6717,                 1.7151,                 1.5532,                0.60785,                0.36651,                0.35221,                0.19038,                 1.9585,                 2.6035,                  1.795,               0.062126,              0.0031258,              0.0031258
                      7,                 1.5944,                 1.6098,                  1.538,                0.64365,                 0.3814,                0.35241,                0.19556,                 1.9202,                 2.5202,                 1.7604,               0.056397,              0.0033972,              0.0033972
                      8,                 1.5444,                 1.4554,                 1.4761,                0.40933,                0.37785,                0.35122,                0.20054,                 1.9072,                 2.3035,                 1.7393,               0.050621,               0.003621,               0.003621
                      9,                 1.5208,                 1.4276,                 1.4045,                 0.6376,                0.39881,                0.35837,                0.19396,                 1.9209,                 2.3115,                 1.7068,               0.044797,              0.0037972,              0.0037972
                     10,                 1.5361,                 1.5559,                 1.4277,                0.28425,                0.46986,                0.35928,                0.18708,                 1.9409,                 2.4001,                 1.7084,               0.038926,               0.003926,               0.003926
                     11,                 1.5252,                 1.3587,                 1.4096,                 0.3313,                0.38858,                0.34515,                0.18265,                 1.9311,                 2.1437,                 1.6603,               0.033007,              0.0040072,              0.0040072
                     12,                 1.4942,                 1.2875,                 1.3807,                0.46916,                0.44042,                0.41441,                 0.2286,                 1.9087,                  2.034,                  1.635,               0.027041,               0.004041,               0.004041
                     13,                 1.5076,                 1.2785,                 1.3908,                0.40485,                0.48022,                0.41609,                0.23016,                 1.8773,                 2.4875,                 1.6481,               0.021027,              0.0040272,              0.0040272
                     14,                 1.4662,                 1.3113,                 1.4201,                0.50956,                 0.4177,                0.43034,                0.23763,                 1.8565,                 1.9353,                 1.6343,               0.014966,              0.0039658,              0.0039658
                     15,                 1.5496,                 1.3251,                 1.4321,                0.75305,                0.34061,                0.38991,                0.21241,                  1.952,                 2.4098,                 1.7439,               0.008857,               0.003857,               0.003857
                     16,                 1.5503,                 1.3213,                 1.4004,                0.66376,                0.37825,                0.39601,                0.21856,                 1.8948,                 2.1278,                 1.7058,               0.003664,               0.003664,               0.003664
                     17,                 1.4926,                 1.1751,                 1.3943,                0.69494,                 0.3392,                0.36871,                0.21826,                 1.8672,                 2.2424,                 1.6879,               0.003664,               0.003664,               0.003664
                     18,                 1.4712,                 1.1472,                 1.3708,                0.66208,                0.38977,                0.37796,                0.23116,                 1.8362,                 2.1811,                 1.6563,               0.003268,               0.003268,               0.003268
                     19,                 1.4322,                 1.1325,                 1.3579,                 0.6759,                0.41546,                0.40668,                0.25061,                 1.7933,                 2.0371,                 1.6055,               0.002872,               0.002872,               0.002872
                     20,                 1.4413,                 1.1739,                 1.3369,                0.74721,                 0.3974,                0.41408,                0.25886,                  1.783,                 2.0341,                 1.5747,               0.002476,               0.002476,               0.002476
                     21,                 1.3936,                 1.1149,                 1.3015,                0.75766,                 0.4035,                0.39267,                 0.2379,                 1.8346,                 2.2881,                 1.5759,                0.00208,                0.00208,                0.00208
                     22,                 1.3873,                 1.0417,                 1.3379,                0.71991,                 0.4225,                0.43619,                0.26409,                 1.7871,                 2.1091,                 1.5613,               0.001684,               0.001684,               0.001684
                     23,                 1.3981,                 1.1224,                 1.3161,                 0.7345,                0.44325,                0.45927,                0.28154,                 1.7513,                 2.0336,                  1.533,               0.001288,               0.001288,               0.001288
                     24,                 1.3612,                 1.0473,                 1.3178,                0.72065,                0.44077,                0.45908,                0.28377,                 1.7538,                 1.9976,                 1.5317,               0.000892,               0.000892,               0.000892
